id,treat,pride_CL,energy,pride_sym,pride_dev,pride_pl,pride_esf,gender,age,geozone,zone1,zone2,zone3,zone4,edu,edu1,edu2,edu3,household,household1,household2,household3,household4,sample,webal
6134,0,4,4,7,4,4,0,Male,42,South,0,0,0,1,3,0,0,1,Four or more,0,0,0,1,1,2.695504242993728
5779,0,7,7,7,6,7,0,Male,67,South,0,0,0,1,1,1,0,0,Three,0,0,1,0,1,3.148453041793321
7432,1,7,6,7,6,7,0,Male,49,Center,0,1,0,0,1,1,0,0,Four or more,0,0,0,1,1,1
7355,1,4,6,7,3,5,0,Male,74,Center,0,1,0,0,2,0,1,0,Two,0,1,0,0,1,1
6026,0,6,7,5,7,7,0,Female,53,North,1,0,0,0,1,1,0,0,Four or more,0,0,0,1,1,2.501299639674453
6557,1,5,6,7,5,7,0,Male,49,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,1
5838,0,6,4,7,7,7,0,Female,70,North,1,0,0,0,1,1,0,0,Four or more,0,0,0,1,1,2.309621335329726
6837,1,5,6,7,6,7,1,Female,65,North,1,0,0,0,1,1,0,0,One,1,0,0,0,1,1
7455,1,7,5,7,4,7,0,Male,51,North,1,0,0,0,1,1,0,0,Three,0,0,1,0,1,1
6004,0,3,5,3,4,4,0,Male,35,South,0,0,0,1,1,1,0,0,Three,0,0,1,0,1,3.658251622280435
6465,1,2,6,4,6,6,1,Female,43,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,1,1
6637,1,5,7,7,4,5,1,Female,47,Center,0,1,0,0,2,0,1,0,Three,0,0,1,0,1,1
6042,0,5,4,7,5,6,0,Male,48,South,0,0,0,1,3,0,0,1,Two,0,1,0,0,1,2.631805141241256
6222,0,6,6,7,7,7,0,Female,50,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,1.935605804029198
7501,1,7,5,5,1,7,0,Male,35,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,1
7656,1,6,7,6,6,6,1,Male,32,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,1
7507,1,5,7,7,7,5,0,Male,58,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,1
7519,1,1,7,1,1,3,1,Male,35,North,1,0,0,0,2,0,1,0,One,1,0,0,0,1,1
7169,1,2,5,1,3,3,,Female,32,North,1,0,0,0,3,0,0,1,One,1,0,0,0,0,1
7717,1,7,7,7,6,7,0,Female,54,South,0,0,0,1,3,0,0,1,Four or more,0,0,0,1,1,1
